"cid","appName","mechanism","version_n","vul_n","start","exploit","t50","t90","t95","mu","sigma","r2"
"chrome_000","chrome","SU",57,1,1212,FALSE,15,103,130,0.0583553845376338,0.00314062372179165,0.997969710070362
"chrome_001","chrome","SU",23,7,841,FALSE,9,24,45,0.127365182542777,0.00394068132997342,0.995378577505502
"chrome_002","chrome","SU",56,3,1200,FALSE,12,66,90,0.0594053799600588,0.000163653274967078,0.999567070781446
"chrome_003","chrome","SU",93,14,1557,FALSE,5,41,50,0.116383311404779,0.00626123065048545,0.99955845672761
"chrome_004","chrome","SU",55,6,1179,FALSE,4,28,43,0.183841519987122,0.0139637248537076,0.99954632199765
"chrome_005","chrome","SU",82,14,1438,FALSE,14,64,80,0.0179518893731987,-0.00462925528134324,0.997740374487458
"chrome_007","chrome","SU",23,8,773,FALSE,1,48,76,0.187742879144455,0.0226545978919617,0.99614940095181
"chrome_008","chrome","SU",85,20,1507,FALSE,6,21,21,0.0556287129296614,-0.0062061394504049,0.991923118468301
"chrome_009","chrome","SU",80,7,1410,FALSE,9,63,79,0.0897578162002259,0.00549856173716335,0.999461408163016
"chrome_010","chrome","SU",8,1,507,FALSE,23,166,210,-0.0460779370146705,-0.00973075032404849,0.987978325168422
"chrome_011","chrome","SU",5,5,1017,FALSE,11,34,74,-0.00270451500520661,-0.0138708411986145,0.996830360351198
"chrome_013","chrome","SU",24,1,848,FALSE,2,22,39,0.269848938145726,0.027579314440569,0.998803798214099
"chrome_014","chrome","SU",7,2,873,FALSE,12,51,93,0.0395503699650047,-0.00632238670091673,0.994821681588971
"chrome_015","chrome","SU",48,5,1135,FALSE,2,13,22,0.10572409654648,-0.011514031253398,0.990946378794252
"chrome_016","chrome","SU",69,30,1305,FALSE,16,83,106,0.0125058456506888,-0.00464364204279538,0.997421370821028
"chrome_018","chrome","SU",84,4,1485,FALSE,6,Inf,Inf,0.120906263225891,0.011503685861708,0.998484570038543
"chrome_020","chrome","SU",83,4,1467,FALSE,6,57,Inf,0.113074645469736,0.00825527837486745,0.99902670356991
"chrome_021","chrome","SU",71,11,1330,FALSE,9,75,94,0.0860635059835062,0.00538436208781634,0.999379323044256
"chrome_023","chrome","SU",1,13,1605,FALSE,2,23,45,0.183922754790087,0.0135638086742457,0.998396297957654
"chrome_025","chrome","SU",74,32,1354,TRUE,9,72,93,0.0852179759096321,0.00484010502355188,0.998968874376486
"chrome_026","chrome","SU",2,2,1681,FALSE,4,22,40,0.169585432983835,0.00949542157637666,0.999316914419295
"chrome_027","chrome","SU",29,1,873,FALSE,12,42,72,0.0402308743561106,-0.00634429698814784,0.995028474294211
"chrome_028","chrome","SU",1,7,1792,FALSE,4,30,Inf,0.145425241396328,0.00791193946454326,0.999582759005422
"chrome_029","chrome","SU",47,9,1129,FALSE,5,13,22,0.111734105229059,-0.00661677073037949,0.995578485944413
"chrome_030","chrome","SU",39,10,989,FALSE,2,10,14,0.193202313554259,0.00385900982211055,0.996725839411964
"chrome_031","chrome","SU",37,1,976,FALSE,9,21,23,-0.0472318057437785,-0.0239723174599163,0.997154083209798
"chrome_032","chrome","SU",11,2,563,FALSE,3,123,160,0.141546948983915,0.0128370829916484,0.996733762375857
"chrome_033","chrome","SU",85,12,1507,FALSE,6,21,21,0.0556287129296614,-0.0062061394504049,0.991923118468301
"chrome_034","chrome","SU",3,6,1807,FALSE,5,Inf,Inf,0.13237467892901,0.0089698573956611,0.999171848388178
"chrome_035","chrome","SU",6,1,491,FALSE,5,104,186,0.177161796689991,0.0172583836763303,0.996127219866708
"chrome_036","chrome","SU",2,2,1795,FALSE,3,34,Inf,0.161360219451031,0.0107696379978564,0.999603871765273
"chrome_037","chrome","SU",51,23,1158,FALSE,8,18,28,0.0706129608156849,-0.00671081662707336,0.994981016373361
"chrome_038","chrome","SU",5,1,479,FALSE,2,86,157,0.164243519167192,0.0132534441251029,0.996706566830509
"chrome_039","chrome","SU",4,2,448,FALSE,4,129,204,0.173068804368412,0.0168131964616608,0.997283612236547
"chrome_040","chrome","SU",4,1,1438,FALSE,12,70,90,0.0221297286072669,-0.00560571789533264,0.997062092724215
"chrome_043","chrome","SU",25,6,873,FALSE,12,43,74,0.0401707024677175,-0.00630321395453884,0.995008881764648
"chrome_044","chrome","SU",30,2,885,FALSE,7,42,70,0.080803142420325,0.000702952425164823,0.993928634610879
"chrome_045","chrome","SU",57,1,1212,FALSE,15,103,130,0.0583553845376338,0.00314062372179165,0.997969710070362
"chrome_046","chrome","SU",1,2,448,FALSE,4,80,198,0.188624886267818,0.0182722462790774,0.99713436718923
"chrome_047","chrome","SU",6,1,623,FALSE,7,74,107,0.089494591464785,0.00302150331253998,0.998542238024832
"chrome_048","chrome","SU",4,2,448,FALSE,4,129,204,0.173068804368412,0.0168131964616608,0.997283612236547
"chrome_050","chrome","SU",2,3,1654,FALSE,3,31,55,0.162542098995192,0.0121914753764548,0.998344296447866
"chrome_051","chrome","SU",1,13,1674,FALSE,1,10,18,0.265790944701038,0.0174858470920641,0.999624096616649
"chrome_052","chrome","SU",8,1,507,FALSE,23,166,210,-0.0460779370146705,-0.00973075032404849,0.987978325168422
"chrome_053","chrome","SU",2,2,1745,FALSE,3,35,50,0.15920556992825,0.015135398127517,0.997336859675505
"chrome_054","chrome","SU",1,5,1743,FALSE,3,32,41,0.190100882697083,0.0170264188638202,0.998448268030785
"chrome_055","chrome","SU",3,1,1772,FALSE,7,41,70,0.0897970728654276,0.00474986877003435,0.998737164651103
"chrome_056","chrome","SU",36,9,962,FALSE,4,30,35,0.171193425006749,0.0237048735466128,0.989999320846485
"chrome_057","chrome","SU",16,1,638,FALSE,6,78,115,0.134041276729195,0.0096269285436223,0.997606372830608
"chrome_058","chrome","SU",61,2,1228,FALSE,18,99,125,0.0308953656967883,-0.00116689104922327,0.999372812648903
"chrome_059","chrome","SU",24,3,806,FALSE,2,43,46,0.203564216933761,0.0197969355106075,0.997234309473034
"chrome_060","chrome","SU",1,2,479,TRUE,2,49,99,0.18497533714615,0.0139699708661129,0.996906256926305
"chrome_061","chrome","SU",67,7,1275,FALSE,9,84,106,0.0989772792846858,0.00789011849714626,0.999359094497099
"chrome_063","chrome","SU",46,16,1108,FALSE,2,15,25,0.171699531540835,0.00755678855794264,0.991448569382642
"chrome_064","chrome","SU",1,1,395,TRUE,3,16,83,0.200736009474121,0.0116905892282548,0.998435971538866
"chrome_065","chrome","SU",89,1,1531,FALSE,7,43,55,0.0919900957287767,0.00438236803041836,0.999248253169287
"chrome_066","chrome","SU",88,1,1529,FALSE,1,18,26,0.153074233885104,0.00661979125155132,0.993819382621526
"chrome_067","chrome","SU",62,4,1240,FALSE,12,94,119,0.076946785325192,0.00479703574108151,0.999433908313166
"chrome_070","chrome","SU",50,19,1155,FALSE,3,13,17,0.0657001020653202,-0.0248241715084215,0.997367686681731
